課次	類型	中文	提示	英文
Unit21考試	單字	女孩	girl	girl
Unit21考試	單字	男孩	boy	boy
Unit21考試	單字	嬰兒	baby	baby
Unit21考試	單字	朋友	friend	friend
Unit21考試	單字	爺爺	grandfather	grandfather
Unit21考試	單字	奶奶	grandmother	grandmother
Unit21考試	單字	眼睛	eye	eye
Unit21考試	單字	耳朵	ear	ear
Unit21考試	單字	鼻子	nose	nose
Unit21考試	單字	嘴巴	mouth	mouth
Unit21考試	單字	頭	head	head
Unit21考試	單字	鳥	bird	bird
Unit21考試	單字	豬	pig	pig
Unit21考試	單字	牛	cow	cow
Unit21考試	單字	鴨子	duck	duck
Unit21考試	單字	山羊	goat	goat
Unit21考試	單字	馬	horse	horse
Unit21考試	單字	雞	chicken	chicken
Unit21考試	單字	9	nine	nine
Unit21考試	單字	10	ten	ten
Unit21考試	單字	11	eleven	eleven
Unit21考試	單字	12	twelve	twelve
Unit21考試	單字	13	thirteen	thirteen
Unit21考試	單字	14	fourteen	fourteen
Unit21考試	單字	15	fifteen	fifteen
Unit21考試	單字	16	sixteen	sixteen
Unit21考試	單字	學校	school	school
Unit21考試	單字	床	bed	bed
Unit21考試	單字	花	flower	flower
Unit21考試	單字	樹	tree	tree
Unit21考試	單字	洋娃娃	doll	doll
Unit21考試	單字	機器人	robot	robot
Unit21考試	單字	書包	bag	bag
Unit21考試	單字	橡皮擦	eraser	eraser
Unit21考試	單字	粉紅色	pink	pink
Unit21考試	單字	紫色	purple	purple
Unit21考試	單字	綠色	green	green
Unit21考試	單字	橘色	orange	orange
Unit21考試	單字	溫暖的	warm	warm
Unit21考試	單字	熱的	hot	hot
Unit21考試	單字	涼爽的	cool	cool
Unit21考試	單字	冷的	cold	cold
Unit21考試	單字	疲倦的	tired	tired
Unit21考試	單字	生病的	sick	sick
Unit21考試	單字	口渴的	thirsty	thirsty
Unit21考試	單字	生氣的	mad	mad
Unit21考試	單字	害羞的	shy	shy
Unit21考試	單字	想睡的	sleepy	sleepy
Unit21考試	單字	好的	good	good
Unit21考試	單字	壞的	bad	bad
Unit21考試	單字	可愛的	cute	cute
Unit21考試	單字	和善的	kind	kind
Unit21考試	單字	漂亮的	pretty	pretty
Unit21考試	單字	聰明的	smart	smart
Unit21考試	單字	溜溜球	yo-yo	yo-yo
Unit21考試	單字	黃色的	yellow	yellow
Unit21考試	單字	窗戶	window	window
Unit21考試	單字	白色的	white	white
Unit21考試	單字	在…下面	under	under
Unit21考試	單字	電視	TV	TV
Unit21考試	單字	3	three	three
Unit21考試	單字	瘦的	thin	thin
Unit21考試	單字	高的	tall	tall
Unit21考試	單字	星星	star	star
Unit21考試	單字	湯	soup	soup
Unit21考試	單字	6	six	six
Unit21考試	單字	短的	short	short
Unit21考試	單字	7	seven	seven
Unit21考試	單字	悲傷的	sad	sad
Unit21考試	單字	尺	ruler	ruler
Unit21考試	單字	鉛筆	pencil	pencil
Unit21考試	單字	母親	mother	mother
Unit21考試	單字	媽媽	mom	mom
Unit21考試	單字	牛奶	milk	milk
Unit21考試	單字	白板筆	marker	marker
Unit21考試	單字	妹妹	little sister	little sister
Unit21考試	單字	弟弟	little brother	little brother
Unit21考試	單字	風箏	kite	kite
Unit21考試	單字	肚子餓的	hungry	hungry
Unit21考試	單字	房子	house	house
Unit21考試	單字	幫忙	help	help
Unit21考試	單字	心	heart	heart
Unit21考試	單字	快樂的	happy	happy
Unit21考試	單字	很好	great	great
Unit21考試	單字	4	four	four
Unit21考試	單字	5	five	five
Unit21考試	單字	父親	father	father
Unit21考試	單字	胖的	fat	fat
Unit21考試	單字	8	eight	eight
Unit21考試	單字	門	door	door
Unit21考試	單字	書桌	desk	desk
Unit21考試	單字	跳舞	dance	dance
Unit21考試	單字	時鐘	clock	clock
Unit21考試	單字	椅子	chair	chair
Unit21考試	單字	小蟲	bug	bug
Unit21考試	單字	頭腦	brain	brain
Unit21考試	單字	書	book	book
Unit21考試	單字	藍色的	blue	blue
Unit21考試	單字	黑色的	black	black
Unit21考試	單字	腳踏車	bike	bike
Unit21考試	單字	姊姊	big sister	big sister
Unit21考試	單字	哥哥	big brother	big brother
Unit21考試	單字	蜜蜂	bee	bee
Unit21考試	單字	香蕉	banana	banana
Unit21考試	單字	球	ball	ball
Unit21考試	單字	蘋果	apple	apple
Unit21考試	單字	螞蟻	ant	ant
